"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"rent_price";"gross_profitability"
"Casa o chalet en venta en calle San Mateo";"Alcantarilla";115000;0;2;1;"Muchas_plantas";4;192;"Segunda mano/buen estado";0;1;0;0;0;1;"alcantarilla";"Alcantarilla";993;10.3617391304348
"Piso en venta en calle Mayor";"Alcantarilla";110000;1;1;1;"Intermedios";2;80;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";715;7.8
"Piso en venta en plaza Campoamor";"Alcantarilla";360000;1;2;1;"Intermedios";4;240;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";1021;3.40333333333333
"Piso en venta en plaza de las Flores";"Alcantarilla";108500;1;1;1;"Primero";3;105;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";789;8.72626728110599
"Piso en venta en calle Mayor";"Alcantarilla";168000;1;2;1;"Ultimos_pisos";4;225;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";1040;7.42857142857143
"Casa o chalet en venta en calle Mayor";"Alcantarilla";165000;0;1;0;"Muchas_plantas";4;160;"Segunda mano/para reformar";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";897;6.52363636363636
"Piso en venta en avenida de Murcia";"Alcantarilla";130000;0;2;1;"Bajo";4;212;"Segunda mano/buen estado";1;1;1;0;1;1;"alcantarilla";"Alcantarilla";1031;9.51692307692308
"Piso en venta en plaza de las Flores, 3";"Alcantarilla";118000;1;2;1;"Intermedios";4;122;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";930;9.45762711864407
"Dúplex en venta en calle Progreso";"Alcantarilla";230000;0;2;1;"Bajo";3;210;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";927;4.83652173913043
"Piso en venta en plaza de las Flores";"Alcantarilla";115000;1;1;1;"Primero";3;95;"Segunda mano/buen estado";1;0;0;1;0;1;"alcantarilla";"Alcantarilla";731;7.62782608695652
