"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Piso en calle Mariano Ruiz Funes, 15";"Vista Alegre";980;1;1;0;"Intermedios";3;100;"Segunda mano/buen estado";0;0;1;0;1;1;"vista alegre";NA;112991;10.4079085944898
"Alquiler de Piso en calle Sagasta s/n";"San Nicolás";650;1;1;1;"Intermedios";1;73;"Segunda mano/buen estado";1;0;1;0;0;1;"san nicolas";NA;107425;7.26087968350012
"Alquiler de Chalet adosado en calle Río Pliego, 17";"Bahía";600;0;2;1;"Primero";3;90;"Segunda mano/buen estado";1;1;1;0;1;0;"bahia";"Region from Substring Match";200495;3.59111199780543
"Alquiler de Chalet adosado en calle Baluma, 38";"Roda";825;0;2;1;"Primero";3;90;"Segunda mano/buen estado";1;1;1;1;0;1;"roda";NA;183799;5.38631875037405
"Alquiler de Estudio en calle Sancho Panza";"San Pedro del Pinatar";550;1;1;1;"Otro";0;53;"Segunda mano/buen estado";1;0;0;0;0;1;"san pedro del pinatar";"San Pedro del Pinatar";87758;7.52068187515668
"Alquiler de Piso en calle el Correal";"Centro";560;1;2;1;"Intermedios";2;82;"Segunda mano/buen estado";1;0;0;1;0;0;"centro";NA;127774;5.25928592671436
"Alquiler de Estudio en Santiago el Mayor";"santiago el mayor";410;1;1;1;"Bajo";0;52;"Segunda mano/buen estado";0;0;0;0;0;0;"santiago el mayor";NA;36982;13.3037694013304
"Alquiler de Piso en Torrealta-Ribera de Molina";"Molina de Segura";615;1;1;1;"Primero";2;109;"Segunda mano/buen estado";1;1;0;1;0;0;"torrealta-ribera de molina";NA;109970;6.71092116031645
"Alquiler de Piso en calle Maestro Ibarra, 5";"Ronda Sur";750;1;1;1;"Intermedios";2;87;"Segunda mano/buen estado";0;0;1;1;0;1;"ronda sur";NA;75853;11.8650547770029
"Alquiler de Piso en calle Álvarez Quintero";"El Carmen";468;1;1;0;"Intermedios";1;31;"Segunda mano/buen estado";0;1;1;0;0;0;"el carmen";NA;73231;7.66888339637585
